N°Obs;1. Civilisation;2. Civilisation_Autre;3. Age;4. Carriere;5. Region;6. OrigineDomaine;7. Si_etrangers_de_quelle_partie_venez-vous;8. VinNation;9. VinImport;10. bas_gamme;11. milieu_gamme;12. haut_gamme;13. grand_cru;14. SatisPub;15. prixpub;16. Quest-ce_qui_vous_attires;17. Quest-ce_qui_vous_attires_Autre;18. FondPhoto;19. AppaGout;20. MondeouChinois;21. NouvoAncien;22. rougeblancautre;23. rougeblancautre_Autre;24. frequence;25. canaux_achat;26. canaux_achat_Autre;27. modivation;28. modivation_Autre;29. Quel_type_de_vin_buvez-vous_souvent;30. Quel_type_de_vin_buvez-vous_souven_Autre;31. LibreAmeliorer;32. CLE;33. DATE_SAISIE;34. DATE_ENREG;35. DATE_MODIF;36. TEMPS_SAISIE;37. ORIGINE_SAISIE;38. LANG_SAISIE;39. APPAREIL_SAISIE;40. PROGRESSION
11;Femme;;50 ans ou plus;自由职业;Région du Nord (Huabei);Non;;张掖;波尔多;< RMB 200 (28,57€);< RMB 500 (71,43€);< RMB 1000 (142,86€);haut de gamme;Plutôt pas content;< ¥ 150 (21,43€);"La photo;Les textes;Le prix";;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;;Il y a quelques jours;Taobao;;Cadeaux;;"Vin blanc;Vin rouge";;整挺好;4AVN-HKZ6;14/03/2023 15:24:50;14/03/2023 15:27:39;;169,0952107;Direct;CN;Smartphone;Terminé
12;Femme;;de 18 à 29 ans;铁路;Région du Sud-ouest (Xi'nan);Je ne sais pas;;0;0;< RMB 100 (14,29€);< RMB 300 (42,86€);< RMB 300 (42,86€);milieu de gamme;Plutôt pas content;< ¥ 150 (21,43€);Autre;;Oui, j’avoue.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Autre;;Jamais;;;;;;;;Y8YK-R6EM;14/03/2023 15:25:21;14/03/2023 15:27:45;;144,3146948;Direct;CN;Smartphone;Terminé
13;Homme;;de 18 à 29 ans;财务;Région du Sud-ouest (Xi'nan);Non;;0;西班牙;< RMB 200 (28,57€);< RMB 500 (71,43€);< RMB 500 (71,43€);milieu de gamme;Plutôt pas content;< ¥ 150 (21,43€);"La photo;Le prix;Les textes;Les paiements échelonnés";;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Oui, j’avoue.;;Il y a un an ou plus que an ans.;"JD;Taobao";;"Cadeaux;Achetez et buvez pour vous-même";;"Vin rouge;Vin blanc";;;K98Y-84W8;14/03/2023 15:23:54;14/03/2023 15:28:13;;258,9466537;Direct;CN;Smartphone;Terminé
14;Femme;;de 18 à 29 ans;教育行业;Région de l'Est (Huadong);Je ne sais pas;;0;法国;< RMB 200 (28,57€);< RMB 500 (71,43€);< RMB 1000 (142,86€);milieu de gamme;Plutôt pas content;> ¥ 500 (71,43€);"Le prix;La photo;Les textes";;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Oui, j’avoue.;;Jamais;Taobao;;"Cadeaux;Collection ou investissement";;Vin rouge;;;H4D8-YJF6;14/03/2023 15:20:10;14/03/2023 15:29:33;;562,680383;Direct;CN;Smartphone;Terminé
15;Femme;;de 30 à 39 ans;体制内;Région de l'Est (Huadong);Oui;;烟台;法国;< RMB 200 (28,57€);< RMB 300 (42,86€);< RMB 1000 (142,86€);haut de gamme;Pas du tout;< ¥ 100 (14,29€);La photo;;Oui, j’avoue.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Je ne connais pas les concepts impliqués dans la question.;Non, je ne suis pas d’accord.;;Il y a un an ou plus que an ans.;Taobao;;"Achetez et buvez pour vous-même;Cadeaux";;"Vin rouge;Vin liquoreux;Vin pétillant";;有0吗;5SCN-QZ4M;14/03/2023 15:13:20;14/03/2023 15:30:46;;1045,9562093;Direct;CN;Smartphone;Terminé
16;Femme;;de 30 à 39 ans;产品经理;Région du Sud-centre (Zhongnan);Non;;新疆吧;法国;< RMB 1000 (142,86€);< RMB 1000 (142,86€);< RMB 1000 (142,86€);milieu de gamme;Pas du tout;< ¥ 150 (21,43€);"Les textes;La photo";;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;;Il y a des semaine;"JD;Taobao";;"Achetez et buvez pour vous-même;Collection ou investissement;Apprentissage et éducation";;"Vin rouge;Champagne;Vin pétillant";;送我两瓶法国红酒;4Z7D-YXD6;14/03/2023 15:27:14;14/03/2023 15:31:41;;266,8979223;Direct;CN;Smartphone;Terminé
17;Femme;;de 30 à 39 ans;government ;Région du Nord-Est (Dongbei);Je ne sais pas;;0;法国;< RMB 200 (28,57€);< RMB 300 (42,86€);< RMB 1000 (142,86€);haut de gamme;Plutôt pas content;< ¥ 200 (28,57€);Le prix;;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Je ne connais pas les concepts impliqués dans la question.;Non, je ne suis pas d’accord.;;Il y a un an ou plus que an ans.;Autre;有人送;Cadeaux;;Vin rouge;;松宝加油;RRYJ-F63S;14/03/2023 15:27:52;14/03/2023 15:32:20;;268,7936799;Direct;CN;Smartphone;Terminé
18;Femme;;de 18 à 29 ans;student;Région du Sud-ouest (Xi'nan);Non;;0;比利时;< RMB 200 (28,57€);< RMB 500 (71,43€);< RMB 1000 (142,86€);Bas de gamme;Plutôt pas content;< ¥ 200 (28,57€);Le prix;;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;;Il y a des semaine;"Taobao;Tmall;TikTok";;"Achetez et buvez pour vous-même;Cadeaux";;"Vin rouge;Vin blanc;Champagne;Vin liquoreux";;;7RD5-8UDS;14/03/2023 15:31:07;14/03/2023 15:33:34;;147,1147101;Direct;CN;Smartphone;Terminé
19;Femme;;de 18 à 29 ans;博士在读;Région de l'Est (Huadong);Non;;0 反问一下 国宝第一想法是大熊猫 然后就会觉得是稀少为主 感觉和葡萄酒一起冠名有点奇怪哦;法国 而且第一印象是红酒;< RMB 50 (7,14€);< RMB 100 (14,29€);< RMB 500 (71,43€);Bas de gamme;Pas du tout;< ¥ 100 (14,29€);"La photo;Le prix;Les textes;Autre";看起来还算真的进口？;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Non, je ne suis pas d’accord.;;Hier, ou maintenant !;Autre;我在法国，Nicola或者超市买;"Achetez et buvez pour vous-même;Apprentissage et éducation";;"Vin blanc;Vin liquoreux;Champagne";;那个第一张图的酒瓶子实在是太土了 我觉得配字或许加上原产国文字会更好一点 因为中文一起看起来更土;UUYJ-M84D;14/03/2023 15:30:46;14/03/2023 15:39:43;;536,6875177;Direct;CN;PC;Terminé
20;Femme;;de 18 à 29 ans;学生;Région de l'Est (Huadong);Non;;宁夏;法国;< RMB 200 (28,57€);< RMB 500 (71,43€);< RMB 1000 (142,86€);haut de gamme;Tout à fait;< ¥ 500 (71,43€);"La photo;Le prix";;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;;Hier, ou maintenant !;Wechat;;"Cadeaux;Achetez et buvez pour vous-même";;"Vin rouge;Vin blanc";;很好;LP4G-HD9Q;14/03/2023 15:35:41;14/03/2023 15:40:06;;264,7763928;Direct;CN;Smartphone;Terminé
21;Homme;;de 18 à 29 ans;Translation;Région du Sud-ouest (Xi'nan);Je ne sais pas;;Xingjiang;Italy;< RMB 100 (14,29€);< RMB 300 (42,86€);< RMB 1000 (142,86€);milieu de gamme;Plutôt pas content;< ¥ 250 (35,71€);La photo;;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Je ne connais pas les concepts impliqués dans la question.;Non, je ne suis pas d’accord.;;Il y a des semaine;"Taobao;JD;Tmall";;Achetez et buvez pour vous-même;;"Vin pétillant;Vin liquoreux";;0;PPAW-TSRY;14/03/2023 15:38:05;14/03/2023 15:43:12;;306,8835765;Direct;EN;Smartphone;Terminé
22;Femme;;de 18 à 29 ans;Étudiant ;Région du Sud-ouest (Xi'nan);Non;;新疆;法国;< RMB 200 (28,57€);< RMB 500 (71,43€);< RMB 1000 (142,86€);milieu de gamme;Pas du tout;< ¥ 150 (21,43€);"Les textes;La photo;Le prix";;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Oui, j’avoue.;;Il y a quelques jours;Autre;朋友带的 超市;"Achetez et buvez pour vous-même;Cadeaux";;"Vin rouge;Champagne";;你这问卷第二页就说快结束了，这不是欺骗吗。还有那个啥列什么酒庄不懂呢;4LV6-69JY;14/03/2023 15:37:51;14/03/2023 15:47:28;;577,2497057;Direct;CN;Smartphone;Terminé
23;Femme;;de 18 à 29 ans;打工人;Région de l'Est (Huadong);Non;;宁夏;法国;< RMB 200 (28,57€);< RMB 500 (71,43€);< RMB 1000 (142,86€);haut de gamme;Plûtot content;< ¥ 250 (35,71€);La photo;;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;;Hier, ou maintenant !;"JD;Autre";直接去酒庄买;"Collection ou investissement;Achetez et buvez pour vous-même";;"Vin rouge;Vin blanc;Vin liquoreux;Vin pétillant";;;X8CF-JE5U;14/03/2023 15:46:59;14/03/2023 15:51:45;;286,3025552;Direct;CN;Smartphone;Terminé
24;Homme;;de 18 à 29 ans;学生;Région de l'Est (Huadong);Non;;贵州;法国;< RMB 100 (14,29€);< RMB 500 (71,43€);< RMB 1000 (142,86€);haut de gamme;Plûtot content;< ¥ 150 (21,43€);La photo;;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Je ne connais pas les concepts impliqués dans la question.;Non, je ne suis pas d’accord.;;Hier, ou maintenant !;Autre;法国超市;"Cadeaux;Achetez et buvez pour vous-même";;"Vin blanc;Vin rosé;Champagne;Vin liquoreux;Vin pétillant";;;7ADM-29BY;14/03/2023 15:49:05;14/03/2023 15:52:41;;216,2952987;Direct;CN;Tablette;Terminé
25;Femme;;50 ans ou plus;商人;Région de l'Est (Huadong);Non;;宁夏;法国;< RMB 200 (28,57€);< RMB 200 (28,57€);< RMB 300 (42,86€);milieu de gamme;Plutôt pas content;< ¥ 150 (21,43€);Autre;不没有特点;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Oui, j’avoue.;Non, je ne suis pas d’accord.;;Hier, ou maintenant !;"JD;Wechat";;Achetez et buvez pour vous-même;;"Vin rouge;Vin blanc;Vin liquoreux";;做个公众号，关注者有小利，合作者有大利;Q4Z2-SMNM;14/03/2023 15:42:46;14/03/2023 15:53:40;;654,1115067;Direct;CN;Smartphone;Terminé
26;Femme;;;学生;Région de l'Est (Huadong);Non;;0;法国;< RMB 100 (14,29€);< RMB 300 (42,86€);< RMB 500 (71,43€);haut de gamme;Plutôt pas content;< ¥ 150 (21,43€);"La photo;Le prix;Les textes;Les paiements échelonnés";;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Autre;各有特色;Il y a des semaine;Autre;特殊渠道;"Apprentissage et éducation;Collection ou investissement;Achetez et buvez pour vous-même;Cadeaux";;"Vin rouge;Vin blanc";;;6KDX-9RAZ;14/03/2023 15:49:39;14/03/2023 15:54:49;;309,7689631;Direct;CN;PC;Terminé
27;Homme;;de 18 à 29 ans;学生;Région du Nord (Huabei);Oui;;山东;波尔多;< RMB 100 (14,29€);< RMB 300 (42,86€);< RMB 300 (42,86€);haut de gamme;Plûtot content;< ¥ 150 (21,43€);"La photo;Les textes;Le prix;Les paiements échelonnés;Autre";;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;;Hier, ou maintenant !;Autre;欧尚;Achetez et buvez pour vous-même;;"Vin blanc;Vin liquoreux;Vin pétillant;Vin rouge";;问卷的文本输入框太窄了，看不清;DF3S-82HN;14/03/2023 15:53:46;14/03/2023 15:58:40;;294,0619921;Direct;CN;Smartphone;Terminé
28;Homme;;de 18 à 29 ans;学生;Région du Nord-Est (Dongbei);Non;;宁夏？;法国;< RMB 100 (14,29€);< RMB 200 (28,57€);< RMB 1000 (142,86€);haut de gamme;Plutôt pas content;< ¥ 150 (21,43€);Le prix;;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Non, je ne suis pas d’accord.;;Il y a quelques jours;Autre;法国线下商店;"Achetez et buvez pour vous-même;Collection ou investissement";;"Vin blanc;Vin rouge";;挺好滴;TKN3-2WHA;14/03/2023 16:02:57;14/03/2023 16:06:13;;196,1827328;Direct;CN;PC;Terminé
29;Femme;;de 18 à 29 ans;学生;Région du Nord (Huabei);Je ne sais pas;;甘肃;葡萄牙;< RMB 100 (14,29€);< RMB 300 (42,86€);< RMB 1000 (142,86€);milieu de gamme;Pas du tout;< ¥ 200 (28,57€);La photo;;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;;Il y a quelques jours;Autre;实体店;Achetez et buvez pour vous-même;;Vin blanc;;;5SBB-3MZB;14/03/2023 16:07:58;14/03/2023 16:10:45;;166,4831969;Direct;CN;Smartphone;Terminé
30;Homme;;de 18 à 29 ans;学生;Région de l'Est (Huadong);Oui;;宁夏;法国;< RMB 100 (14,29€);< RMB 300 (42,86€);;milieu de gamme;Pas du tout;< ¥ 100 (14,29€);La photo;;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;;Il y a quelques jours;Autre;在酒庄购买;"Achetez et buvez pour vous-même;Cadeaux;Apprentissage et éducation";;"Vin rouge;Vin blanc;Vin rosé;Champagne;Vin liquoreux;Vin pétillant";;在基本信息调查完之后，可以通过设置一个“请问是葡萄酒业内人士还是业外人士”的问题，将问卷调查者进行分类，根据结果也自动匹配后面不同专业度的问题;GW6U-BHZ3;14/03/2023 16:04:35;14/03/2023 16:10:52;;377,2722886;Direct;CN;Smartphone;Terminé
31;Homme;;de 18 à 29 ans;学生;Région du Sud-centre (Zhongnan);Non;;张裕解百纳 不知道是哪的;法国;< RMB 1000 (142,86€);< RMB 300 (42,86€);< RMB 500 (71,43€);haut de gamme;Plûtot content;< ¥ 250 (35,71€);La photo;;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;;Il y a des semaine;"Wechat;Taobao;Autre";线下购买;Achetez et buvez pour vous-même;;"Vin liquoreux;Champagne;Vin rouge;Vin blanc";;有些问题的设置和中文翻译有些奇怪，除此之外都很好！！;R7GB-DDPQ;14/03/2023 16:04:40;14/03/2023 16:12:45;;484,9402656;Direct;CN;Smartphone;Terminé
32;Femme;;de 18 à 29 ans;学生;Région de l'Est (Huadong);Non;;新疆;法国;< RMB 100 (14,29€);< RMB 200 (28,57€);< RMB 300 (42,86€);haut de gamme;Plûtot content;< ¥ 150 (21,43€);"La photo;Le prix";;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Oui, j’avoue.;Non, je ne suis pas d’accord.;;Il y a des semaine;Wechat;;Achetez et buvez pour vous-même;;Vin liquoreux;;;UX49-KT7X;14/03/2023 16:07:27;14/03/2023 16:16:57;;570,200149;Direct;CN;Tablette;Terminé
33;Femme;;de 18 à 29 ans;Étudiante ;Etrangers;Non;Europe;0;France ;< RMB 50 (7,14€);< RMB 300 (42,86€);< RMB 1000 (142,86€);haut de gamme;Plûtot content;< ¥ 500 (71,43€);"La photo;Les textes";;Oui, j’avoue.;Non, je ne suis pas d’accord.;;;Non, je ne suis pas d’accord.;;Il y a quelques jours;;;Autre;Dans les bars ;"Vin blanc;Vin pétillant;Champagne";;;TMFB-93HX;14/03/2023 16:15:42;14/03/2023 16:18:56;;193,3978765;Direct;FR;Smartphone;Terminé
34;Homme;;de 18 à 29 ans;学生;Région de l'Est (Huadong);Non;;0;法国;< RMB 200 (28,57€);< RMB 500 (71,43€);< RMB 1000 (142,86€);milieu de gamme;Plutôt pas content;< ¥ 250 (35,71€);"Les textes;Les paiements échelonnés";;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Je ne connais pas les concepts impliqués dans la question.;Oui, j’avoue.;;Il y a un an ou plus que an ans.;Autre;不买;Achetez et buvez pour vous-même;;Vin rouge;;;AU7Z-VXYY;14/03/2023 16:10:55;14/03/2023 16:19:11;;496,086827;Direct;CN;Smartphone;Terminé
35;Femme;;de 18 à 29 ans;学生;Région du Sud-centre (Zhongnan);Non;;0;波尔多;< RMB 100 (14,29€);< RMB 500 (71,43€);< RMB 1000 (142,86€);haut de gamme;Plûtot content;;La photo;;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Oui, j’avoue.;Oui, j’avoue.;;Il y a des mois;Taobao;;Achetez et buvez pour vous-même;;Vin rouge;;;YNK2-VHWS;14/03/2023 16:22:07;14/03/2023 16:25:42;;214,6326633;Direct;CN;Smartphone;Terminé
36;Homme;;de 18 à 29 ans;学生;Région du Nord-Est (Dongbei);Non;;0;法国;< RMB 200 (28,57€);< RMB 500 (71,43€);< RMB 1000 (142,86€);milieu de gamme;Plutôt pas content;< ¥ 150 (21,43€);Le prix;;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Je ne connais pas les concepts impliqués dans la question.;Non, je ne suis pas d’accord.;;Il y a des mois;Autre;超市;Achetez et buvez pour vous-même;;"Vin blanc;Vin liquoreux";;;X9LS-RUKQ;14/03/2023 16:33:26;14/03/2023 16:39:27;;360,638267;Direct;CN;Smartphone;Terminé
37;Homme;;50 ans ou plus;退休;Région du Sud-centre (Zhongnan);Non;;新疆;法国;< RMB 200 (28,57€);< RMB 500 (71,43€);< RMB 500 (71,43€);Bas de gamme;Plutôt pas content;< ¥ 200 (28,57€);La photo;;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;;Il y a des mois;"Wechat;Tmall;JD";;"Achetez et buvez pour vous-même;Collection ou investissement";;"Vin rouge;Vin blanc";;选项的翻译可以具体再做对应的更改，意思正确更好;FLY2-3KE9;14/03/2023 16:33:10;14/03/2023 16:39:49;;398,2589864;Direct;CN;Smartphone;Terminé
38;Homme;;de 18 à 29 ans;退休;Région du Sud-centre (Zhongnan);Non;;新疆;法国;< RMB 100 (14,29€);< RMB 200 (28,57€);< RMB 200 (28,57€);milieu de gamme;Plûtot content;< ¥ 100 (14,29€);Le prix;;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;Je ne connais pas les concepts impliqués dans la question.;Oui, j’avoue.;;Il y a des semaine;Autre;托人帮买;Achetez et buvez pour vous-même;;Vin rouge;;有些问题不怎么理解;H36R-3QVW;14/03/2023 16:36:15;14/03/2023 16:47:17;;661,525018;Direct;CN;Smartphone;Terminé
39;Homme;;de 40 à 49 ans;葡萄酒出口;Région du Sud-ouest (Xi'nan);Non;;宁夏;法国;< RMB 50 (7,14€);< RMB 200 (28,57€);< RMB 1000 (142,86€);haut de gamme;Plûtot content;< ¥ 200 (28,57€);"Le prix;La photo;Les textes;Les paiements échelonnés;Autre";;Oui, j’avoue.;Non, je ne suis pas d’accord.;Oui, j’avoue.;Non, je ne suis pas d’accord.;Non, je ne suis pas d’accord.;;Il y a demi ans.;Wechat;;Achetez et buvez pour vous-même;;Vin rouge;;;G2F9-AVRC;14/03/2023 16:45:37;14/03/2023 16:47:44;;127,2884764;Direct;CN;Smartphone;Terminé
